ticker,qty,timestamp,close,adj close,volume,div amt
STZ,100.0,2013-06-28,52.1200,48.8465,36921100,0.0000
STZ,100.0,2013-05-31,53.0100,49.6806,45313800,0.0000
STZ,100.0,2013-04-30,49.3500,46.2504,60025195,0.0000
STZ,100.0,2013-03-28,47.6400,44.6478,46588200,0.0000
STZ,100.0,2013-02-28,44.2400,41.4614,153557600,0.0000
STZ,100.0,2013-01-31,39.1700,36.7098,98376200,0.0000
STZ,100.0,2012-12-31,35.3900,33.1672,24502300,0.0000
STZ,100.0,2012-11-30,35.8800,33.6265,32539300,0.0000
STZ,100.0,2012-10-31,35.3400,33.1204,63181500,0.0000
STZ,100.0,2012-09-28,32.3500,30.3182,44627900,0.0000
STZ,100.0,2012-08-31,32.9400,30.8711,56392700,0.0000
STZ,100.0,2012-07-31,28.2100,26.4382,74703400,0.0000
STZ,100.0,2012-06-29,27.0600,25.3604,74861000,0.0000
STZ,100.0,2012-05-31,19.2900,18.0784,51296500,0.0000
STZ,100.0,2012-04-30,21.6000,20.2434,73802000,0.0000
STZ,100.0,2012-03-30,23.5900,22.1084,28202800,0.0000
STZ,100.0,2012-02-29,21.8400,20.4683,30085900,0.0000
STZ,100.0,2012-01-31,20.9000,19.5873,30936100,0.0000
STZ,100.0,2011-12-30,20.6700,19.3718,31401900,0.0000
STZ,100.0,2011-11-30,19.4700,18.2471,37497400,0.0000
STZ,100.0,2011-10-31,20.2200,18.9500,52475400,0.0000
STZ,100.0,2011-09-30,18.0000,16.8695,42378900,0.0000
STZ,100.0,2011-08-31,19.7700,18.5283,68130100,0.0000
STZ,100.0,2011-07-29,20.3900,19.1094,37958800,0.0000
STZ,100.0,2011-06-30,20.8200,19.5123,42131534,0.0000
STZ,100.0,2011-05-31,21.9600,20.5807,34630800,0.0000
STZ,100.0,2011-04-29,22.3900,20.9837,49803300,0.0000
STZ,100.0,2011-03-31,20.2800,19.0063,45430800,0.0000
STZ,100.0,2011-02-28,20.3200,19.0438,27670100,0.0000
STZ,100.0,2011-01-31,19.2200,18.0128,48529400,0.0000
STZ,100.0,2010-12-31,22.1500,20.7588,30890800,0.0000
STZ,100.0,2010-11-30,20.6100,19.3155,32972424,0.0000
STZ,100.0,2010-10-29,19.7300,18.4908,35995159,0.0000
STZ,100.0,2010-09-30,17.6900,16.5789,31385900,0.0000
STZ,100.0,2010-08-31,16.6600,15.6136,23619200,0.0000
STZ,100.0,2010-07-30,17.0600,15.9885,37540700,0.0000
STZ,100.0,2010-06-30,15.6200,14.6389,55309100,0.0000
STZ,100.0,2010-05-28,16.6600,15.6136,63509300,0.0000
STZ,100.0,2010-04-30,18.2700,17.1225,49901800,0.0000
STZ,100.0,2010-03-31,16.4400,15.4074,29145400,0.0000
STZ,100.0,2010-02-26,15.0400,14.0954,33487400,0.0000
STZ,100.0,2010-01-29,16.0800,15.0701,37422200,0.0000
STZ,100.0,2009-12-31,15.9300,14.9295,45778400,0.0000
STZ,100.0,2009-11-30,17.1100,16.0354,33140600,0.0000
STZ,100.0,2009-10-30,15.8200,14.8264,60153600,0.0000
STZ,100.0,2009-09-30,15.1500,14.1985,50870000,0.0000
STZ,100.0,2009-08-31,14.7900,13.8611,45078500,0.0000
STZ,100.0,2009-07-31,13.6600,12.8020,57569100,0.0000
STZ,100.0,2009-06-30,12.6800,11.8836,61575500,0.0000
STZ,100.0,2009-05-29,11.5600,10.8339,45492800,0.0000
STZ,100.0,2009-04-30,11.5900,10.8621,66300200,0.0000
STZ,100.0,2009-03-31,11.9000,11.1526,67100200,0.0000
STZ,100.0,2009-02-27,13.0500,12.2304,44464900,0.0000
STZ,100.0,2009-01-30,14.5200,13.6080,53143000,0.0000
STZ,100.0,2008-12-31,15.7700,14.7795,44687800,0.0000
