timestamp,open,high,low,close,adj close,volume,div amt
2018-01-31,156.6700,171.9600,156.5500,166.4200,159.5211,42585128,0.0000
2017-12-29,150.2500,159.1000,146.9300,156.5100,150.0219,33382697,0.6000
2017-11-30,133.8700,150.7500,130.7700,149.8600,143.1031,55109706,0.0000
2017-10-31,125.7000,133.7600,125.0800,132.8800,126.8887,37314634,0.0000
2017-09-29,115.9800,125.6400,114.7600,125.5900,119.9274,53974625,0.6000
2017-08-31,129.6100,132.5000,112.8700,115.9300,110.1684,62642960,0.0000
2017-07-31,124.1900,129.5400,123.2500,128.2800,121.9046,39204421,0.0000
2017-06-30,125.2500,128.3700,120.9200,123.5900,117.4477,54023919,0.6000
2017-05-31,112.2500,123.5900,109.7900,122.4600,115.8111,52430499,0.0000
2017-04-28,108.9700,114.1300,107.0400,111.6100,105.5502,37840101,0.0000
2017-03-31,110.7200,111.7800,106.9300,108.8600,102.9495,45822635,0.6000
2017-02-28,107.3000,112.1799,106.6200,109.4900,102.9742,56766308,0.0000
2017-01-31,103.6800,108.4700,103.4500,107.0500,100.6794,43613055,0.0000
2016-12-30,100.9500,104.7700,100.0500,103.0400,96.9080,58417813,0.6000
2016-11-30,88.1200,104.8300,87.3800,100.2000,93.6934,91628920,0.0000
2016-10-31,84.6100,89.3400,84.2400,88.3000,82.5661,44509530,0.0000
2016-09-30,84.5000,85.4900,80.3500,85.3500,79.8077,57363137,0.6000
2016-08-31,77.7500,88.6300,76.7300,84.5500,78.4995,93736482,0.0000
2016-07-29,81.2200,84.6500,76.8700,77.7100,72.1490,65260926,0.0000
2016-06-30,81.9600,88.1999,79.7800,81.0400,75.2407,68624901,0.6000
2016-05-31,84.1700,84.9500,77.2500,82.2900,75.8421,73368526,0.0000
2016-04-29,76.2600,85.3400,74.9100,84.1100,77.5195,63929039,0.0000
2016-03-31,80.6400,86.0700,76.9100,76.9900,70.9574,70936743,0.6000
2016-02-29,76.2300,82.2300,72.8600,80.1800,73.3507,73830998,0.0000
2016-01-29,75.7800,77.0100,70.1600,77.0100,70.4507,62363400,0.0000
2015-12-31,79.4200,80.5500,74.6300,76.2700,69.7737,69747497,0.6000
